dialogue_id,turn_id,H_MC,memory_size,num_clusters
train_0471aa8f_d1,1,0.31319577749765837,0,3
train_0471aa8f_d1,2,0.3835952405491204,1,8
train_0471aa8f_d1,3,0.04793429242260332,2,7
train_0471aa8f_d1,4,0.4366020432983529,3,7
train_0471aa8f_d1,5,0.30845177810458235,4,8
train_1d11e740_d1,1,0.4075045304033575,0,5
train_1d11e740_d1,2,0.6886247709702099,1,5
train_1d11e740_d1,3,0.38904475082874795,2,5
train_1d11e740_d1,4,-0.0,3,1
train_1d11e740_d1,5,-0.0,4,1
train_461a598a_d1,1,0.21083793240222876,0,5
train_461a598a_d1,2,0.6905562734357917,1,8
train_461a598a_d1,3,-0.0,2,1
train_461a598a_d1,4,0.014229325535268234,3,2
train_461a598a_d1,5,6.544351313951325e-06,4,3
train_8a3a76cb_d1,1,0.8720683896631849,0,7
train_8a3a76cb_d1,2,0.40030411672445676,1,2
train_8a3a76cb_d1,3,1.0299514133409513,2,8
train_8a3a76cb_d1,4,0.6669577490110304,3,2
train_c75bc52d_d1,1,0.020614404352758228,0,7
train_c75bc52d_d1,2,0.0024604670022346647,1,4
train_c75bc52d_d1,3,0.1269228115102369,2,8
train_c75bc52d_d1,4,3.2465730634432475e-06,3,8
train_c75bc52d_d1,5,0.10341820746244235,4,6
train_d5aa4087_d1,1,1.4564240118704508,0,7
train_d5aa4087_d1,2,-0.0,1,1
train_d5aa4087_d1,3,0.028037885186786987,2,2
train_d5aa4087_d1,4,0.1693657320332264,3,4
train_d7a9c5a4_d1,1,4.865704981226087e-12,0,3
train_d7a9c5a4_d1,2,0.3134120547008418,1,7
train_d7a9c5a4_d1,3,1.028052714012491,2,4
train_d7a9c5a4_d1,4,0.682862205140503,3,6
train_d7a9c5a4_d1,5,0.2540129524534469,4,3
train_db94292b_d1,1,1.1083453113087773,0,7
train_db94292b_d1,2,1.0957621967656264e-05,1,3
train_db94292b_d1,3,-0.0,2,1
train_db94292b_d1,4,0.00160054604680727,3,5
train_db94292b_d1,5,0.6256702402488467,4,2
train_e69e03b2_d1,1,0.31962975982515834,0,6
train_e69e03b2_d1,2,1.1256839734103983,1,6
train_e69e03b2_d1,3,0.9994756589357072,2,6
train_e69e03b2_d1,4,0.002303639523873964,3,3
train_e69e03b2_d1,5,0.05245609248022607,4,5
train_f340b89e_d1,1,1.5516851522727908,0,7
train_f340b89e_d1,2,0.9251684231395828,1,4
train_f340b89e_d1,3,0.005998618333917878,2,3
train_f340b89e_d1,4,0.06221160614826071,3,5
